Building DAG of jobs...
output_file	date	rule	version	log-file(s)	status	plan
analysis/align/TUMOR/TUMOR.sorted.bam	Mon Aug  8 19:44:40 2022	aggregate_input	-		ok	no update
analysis/align/TUMOR/TUMOR.sorted.bam.bai	Mon Aug  8 19:44:40 2022	aggregate_input	-		ok	no update
analysis/align/TUMOR/TUMOR.sorted.fromFastq.bam	-	align_from_fastq	-	analysis/logs/align/TUMOR/align.sentieon_bwa.TUMOR.log	missing	no update
analysis/align/TUMOR/TUMOR.sorted.fromFastq.bam.bai	-	align_from_fastq	-	analysis/logs/align/TUMOR/align.sentieon_bwa.TUMOR.log	missing	no update
analysis/align/TUMOR/TUMOR.sorted.dedup.bam	Mon Aug  8 19:44:56 2022	dedupSortedUniqueBam	-	analysis/logs/align/TUMOR/align.dedupSortedUniqueBam.TUMOR.log	ok	no update
analysis/align/TUMOR/TUMOR.sorted.dedup.bam.bai	Mon Aug  8 19:44:56 2022	dedupSortedUniqueBam	-	analysis/logs/align/TUMOR/align.dedupSortedUniqueBam.TUMOR.log	ok	no update
analysis/align/TUMOR/TUMOR.sorted.dedup.metric.txt	Mon Aug  8 19:44:56 2022	dedupSortedUniqueBam	-	analysis/logs/align/TUMOR/align.dedupSortedUniqueBam.TUMOR.log	ok	no update
analysis/align/TUMOR/TUMOR.sorted.score.txt	Mon Aug  8 19:44:46 2022	scoreSample	-	analysis/logs/align/TUMOR/align.scoreSample.TUMOR.log	ok	no update
analysis/align/TUMOR/TUMOR.sorted.score.txt.idx	Mon Aug  8 19:44:46 2022	scoreSample	-	analysis/logs/align/TUMOR/align.scoreSample.TUMOR.log	ok	no update
analysis/align/NORMAL/NORMAL.sorted.bam	Mon Aug  8 19:44:38 2022	aggregate_input	-		ok	no update
analysis/align/NORMAL/NORMAL.sorted.bam.bai	Mon Aug  8 19:44:38 2022	aggregate_input	-		ok	no update
analysis/align/NORMAL/NORMAL.sorted.fromFastq.bam	-	align_from_fastq	-	analysis/logs/align/NORMAL/align.sentieon_bwa.NORMAL.log	missing	no update
analysis/align/NORMAL/NORMAL.sorted.fromFastq.bam.bai	-	align_from_fastq	-	analysis/logs/align/NORMAL/align.sentieon_bwa.NORMAL.log	missing	no update
analysis/align/NORMAL/NORMAL.sorted.dedup.bam	Mon Aug  8 19:44:56 2022	dedupSortedUniqueBam	-	analysis/logs/align/NORMAL/align.dedupSortedUniqueBam.NORMAL.log	ok	no update
analysis/align/NORMAL/NORMAL.sorted.dedup.bam.bai	Mon Aug  8 19:44:56 2022	dedupSortedUniqueBam	-	analysis/logs/align/NORMAL/align.dedupSortedUniqueBam.NORMAL.log	ok	no update
analysis/align/NORMAL/NORMAL.sorted.dedup.metric.txt	Mon Aug  8 19:44:56 2022	dedupSortedUniqueBam	-	analysis/logs/align/NORMAL/align.dedupSortedUniqueBam.NORMAL.log	ok	no update
analysis/align/NORMAL/NORMAL.sorted.score.txt	Mon Aug  8 19:44:45 2022	scoreSample	-	analysis/logs/align/NORMAL/align.scoreSample.NORMAL.log	ok	no update
analysis/align/NORMAL/NORMAL.sorted.score.txt.idx	Mon Aug  8 19:44:45 2022	scoreSample	-	analysis/logs/align/NORMAL/align.scoreSample.NORMAL.log	ok	no update
analysis/align/mapping.csv	Mon Aug  8 19:45:00 2022	collect_map_stats	-	analysis/logs/align/align.collect_map_stats.log	ok	no update
analysis/align/NORMAL/NORMAL_mapping.txt	Mon Aug  8 19:44:59 2022	map_stats	-	analysis/logs/align/NORMAL/align.map_stats.NORMAL.log	ok	no update
analysis/align/TUMOR/TUMOR_mapping.txt	Mon Aug  8 19:45:00 2022	map_stats	-	analysis/logs/align/TUMOR/align.map_stats.TUMOR.log	ok	no update
analysis/metrics/TUMOR/TUMOR_mq_metrics.txt	Mon Aug  8 19:47:23 2022	Metrics_sentieon	-		ok	no update
analysis/metrics/TUMOR/TUMOR_qd_metrics.txt	Mon Aug  8 19:47:23 2022	Metrics_sentieon	-		ok	no update
analysis/metrics/TUMOR/TUMOR_gc_summary.txt	Mon Aug  8 19:47:23 2022	Metrics_sentieon	-		ok	no update
analysis/metrics/TUMOR/TUMOR_gc_metrics.txt	Mon Aug  8 19:47:23 2022	Metrics_sentieon	-		ok	no update
analysis/metrics/TUMOR/TUMOR_aln_metrics.txt	Mon Aug  8 19:47:23 2022	Metrics_sentieon	-		ok	no update
analysis/metrics/TUMOR/TUMOR_is_metrics.txt	Mon Aug  8 19:47:23 2022	Metrics_sentieon	-		ok	no update
